University_Name,Location,Ranking,Tutionfee,Enrollment
Michigan Technological University,Houghton,88,"[['full-time', '$1,285 per credit (in-state)'], ['full-time', '$1,285 per credit (out-of-state)'], ['part-time', '$1,285 per credit (in-state)'], ['part-time', '$1,285 per credit (out-of-state)']]",508
New Jersey Institute of Technology,Newark,88,"[['full-time', '$20,624 per year (in-state)'], ['full-time', '$30,540 per year (out-of-state)'], ['part-time', '$1,122 per credit (in-state)'], ['part-time', '$1,603 per credit (out-of-state)']]","1,016"
,,,,
University of California--Santa Cruz (Baskin),Santa Cruz,88,"[['full-time', '$11,442 per year (in-state)'], ['full-time', '$26,544 per year (out-of-state)'], ['part-time', '$5,721 per year (in-state)'], ['part-time', '$13,272 per year (out-of-state)']]",615
University of Cincinnati,Cincinnati,92,"[['full-time', '$13,224 per year (in-state)'], ['full-time', '$24,996 per year (out-of-state)'], ['part-time', '$662 per credit (in-state)'], ['part-time', '$1,249 per credit (out-of-state)']]","1,027"
George Mason University (Volgenau),Fairfax,93,"[['full-time', '$640 per credit (in-state)'], ['full-time', '$1,413 per credit (out-of-state)'], ['part-time', '$640 per credit (in-state)'], ['part-time', '$1,413 per credit (out-of-state)']]",834
Mississippi State University (Bagley),Mississippi State,93,"[['full-time', '$8,800 per year (in-state)'], ['full-time', '$15,040 per year (out-of-state)'], ['part-time', '$489 per credit (in-state)'], ['part-time', '$836 per credit (out-of-state)']]",432
Naval Postgraduate School,Monterey,93,nun,580
University of Nebraska--Lincoln,Lincoln,93,"[['full-time', '$8,496 per year (in-state)'], ['full-time', '$23,130 per year (out-of-state)'], ['part-time', '$2,832 per year (in-state)'], ['part-time', '$7,710 per year (out-of-state)']]",477
Worcester Polytechnic Institute,Worcester,93,"[['full-time', '$28,980 per year'], ['part-time', '$1,610 per credit']]",434
Florida A&M University - Florida State University,Tallahassee,98,"[['full-time', '$9,630 per year (in-state)'], ['full-time', '$22,270 per year (out-of-state)']]",501
Texas Tech University (Whitacre),Lubbock,98,"[['full-time', '$8,136 per year (in-state)'], ['full-time', '$17,952 per year (out-of-state)'], ['part-time', '$339 per credit (in-state)'], ['part-time', '$748 per credit (out-of-state)']]",671
University of South Florida,Tampa,98,"[['full-time', '$467 per credit (in-state)'], ['full-time', '$913 per credit (out-of-state)'], ['part-time', '$467 per credit (in-state)'], ['part-time', '$913 per credit (out-of-state)']]",722
,,,,
Brigham Young University,Provo,101,"[['full-time', '$7,510 per year (LDS member)'], ['full-time', '$15,020 per year (Non-LDS member)']]",413
Embry-Riddle Aeronautical University,Daytona Beach,101,"[['full-time', '$18,228 per year'], ['part-time', '$9,114 per year']]",313
University of Alabama--Huntsville,Huntsville,101,"[['full-time', '$10,632 per year (in-state)'], ['full-time', '$24,430 per year (out-of-state)'], ['part-time', '$9,668 per credit (in-state)'], ['part-time', '$22,182 per credit (out-of-state)']]",228
University of Kentucky,Lexington,101,"[['full-time', '$13,538 per year (in-state)'], ['full-time', '$33,216 per year (out-of-state)'], ['part-time', '$734 per credit (in-state)'], ['part-time', '$1,827 per credit (out-of-state)']]",389
University of Miami,Coral Gables,101,"[['full-time', '$2,170 per credit'], ['part-time', '$2,170 per credit']]",235
University of Oklahoma,Norman,101,"[['full-time', '$289 per credit (in-state)'], ['full-time', '$900 per credit (out-of-state)'], ['part-time', '$289 per credit (in-state)'], ['part-time', '$900 per credit (out-of-state)']]",415
University of South Carolina,Columbia,101,"[['full-time', '$15,709 per year (in-state)'], ['full-time', '$31,735 per year (out-of-state)'], ['part-time', '$572 per credit (in-state)'], ['part-time', '$1,240 per credit (out-of-state)']]",466
Kansas State University,Manhattan,108,"[['full-time', '$426 per credit (in-state)'], ['full-time', '$960 per credit (out-of-state)'], ['part-time', '$426 per credit (in-state)'], ['part-time', '$960 per credit (out-of-state)']]",231
